question,document,score,reasoning
Can I still join the course if I just found it now?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late joining is allowed, but certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
Is it okay to start late and catch up with the course material?,74eb249bbf,bad,"The AI answer correctly says it is okay to start late and catch up, but it misses the key condition from the ground truth: to receive a certificate, the student must submit the project while submissions are still being accepted. Instead, it mentions deadlines in general without stating the certificate requirement. This changes the meaning enough to be considered incomplete."
"If I join after the course has started, can I still get a certificate?",74eb249bbf,good,"The AI answer preserves the key point from the ground truth: late joiners can still get a certificate if they submit their project while submissions are being accepted. It adds an extra condition about completing the required live cohort process, which is not in the original answer, but this does not contradict the main answer and the core requirement is still conveyed."
What do I need to do to be eligible for the certificate if I’m joining late?,74eb249bbf,bad,The ground truth says late joiners are eligible for a certificate if they submit their project while submissions are still being accepted. The AI answer 'I don’t know' fails to convey this requirement and is incorrect/incomplete.
Are project submissions still open for new students who discovered the course recently?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: project submissions are still open for new students, and certificate eligibility requires submitting while submissions are being accepted. It is semantically equivalent, with only minor paraphrasing."
"I signed up for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is that normal?",977bf7786c,good,"The AI answer conveys the same key points as the ground truth: no confirmation email is needed, the student is accepted, they can start learning and submitting homework while the form is open, and registration is only to gauge interest. It preserves the original meaning accurately."
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it says registration confirmation is not needed, the student is accepted, and they can start the course and submit homework while the form is open even without registering. It preserves the core point and intent."
"If I never registered, can I still follow along and turn in assignments while the homework form is open?",977bf7786c,good,"The AI answer matches the ground truth: it says registration is not required, you can still learn and submit homework while the form is open, and there is no check against a registered list. It preserves the key point that registration is only for gauging interest."
Is there some accepted list that my registration has to match before I can participate?,977bf7786c,good,"The AI answer matches the ground truth: it says there is no accepted list requirement, that registration is not checked against a list, that one can learn and submit homework while the form is open even without registering, and that registration is only for gauging interest before the start date."
What’s the point of registering if I can already start learning without any email confirmation?,977bf7786c,good,"The AI answer matches the ground truth: registration is only to gauge interest, acceptance is already granted, and learning/submitting homework can begin without email confirmation. It preserves the key point that registration is unnecessary for access."
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,489dd1c9d9,good,"The AI answer matches the ground truth: it says the Zoom link is only for instructors/presenters/TAs, and students should use YouTube Live, Slido, and the announcements channels, with the same warning about not posting questions in chat. No key information is missing or incorrect."
Where is the live stream link for the workshop or Office Hours usually announced before it starts?,489dd1c9d9,good,"The AI answer correctly states that the live stream link is usually posted in the announcements channel on Telegram and Slack before it starts, and that it can also be watched on the DataTalksClub YouTube channel. This matches the ground truth key points. It omits extra details about Zoom being only for instructors and Slido/questions, but those are not required for the question."
"Can students watch the live sessions on YouTube, and where do we send questions during the stream?",489dd1c9d9,good,"The AI answer matches the key points: students can watch live on the DataTalksClub YouTube channel, questions should be sent to Slido, and questions should not be posted in chat. It omits some extra context about the Zoom link and announcement channels, but that is not required for the asked question."
"Why can’t I see the Zoom URL for the live class sessions, and what should I use instead?",489dd1c9d9,good,"The AI answer matches the ground truth: it correctly says the Zoom URL is only for instructors/presenters/TAs, and that students should watch via YouTube Live, ask questions through Slido, and check Telegram/Slack announcements or the DataTalksClub YouTube channel for the stream URL. It preserves the key guidance that chat questions should not be relied on, though that detail is omitted; this is not essential to the core answer."
"Should I ask questions in the chat during live Office Hours, or is there another place to submit them?",489dd1c9d9,good,"The AI answer captures the main point that students should not post questions in chat and should use Slido during the live session, with the link pinned in chat. It also adds Slack for questions outside the live session, which is extra detail and not contradictory. It omits some ancillary details about YouTube Live and where the video URL is posted, but those are not necessary to answer the specific question."
"Where do I begin if I want to take this course from scratch, and what are the main resources I should check first?",04919992b3,good,"The AI answer includes the same starting resources as the ground truth and reproduces the recommended workflow accurately. It also states that one can start whenever they want implicitly by giving the workflow, though it does not explicitly mention the course management platform link for deadlines. The extra note that the GitHub repo is the main entry point is not contradictory, though it is not stated in the original. Overall it conveys the key information correctly."
What’s the usual weekly routine for this course after I watch the lectures?,04919992b3,good,"The AI answer matches the ground truth’s typical workflow almost exactly: watch videos, work through notebooks/code, read homework instructions, and submit before the deadline. It also correctly notes that homework is similar to the lesson flow but uses a different dataset or slightly different task. It omits the introductory links to docs/GitHub/course platform, but the question asks about the usual weekly routine after watching the lectures, so that omission does not affect correctness."
"Do I have to start on a fixed date, or can I join and work through the material anytime?",04919992b3,good,"The AI answer correctly states the key point that you can start whenever you want and that the videos/GitHub materials are available. It omits some additional workflow details and the mention of deadlines on the course platform, but those are not necessary to answer the question asked."
"How exactly should I handle homework for each week, from the lesson material to submitting it?",04919992b3,good,"The AI answer matches the ground truth workflow for handling homework: watch lessons, work through notebooks, read GitHub homework instructions, and submit on the course platform before the deadline. It also correctly notes that homework is similar to the lesson flow but may differ slightly. The extra note about [DRAFT] titles is not in the original answer, but it does not contradict the ground truth. Overall, semantically equivalent."
"Is the homework basically the same as the lesson exercises, or does it change each week?",04919992b3,good,"The AI answer matches the key point from the ground truth: homework is similar to the lesson flow but uses a different dataset or slightly different task. It correctly conveys that it is not the exact same exercises, while the concepts remain similar. Extra details about workflow are not necessary but do not conflict."
I can’t find myself on the leaderboard — how do I locate my entry?,c2903069a0,good,"The AI answer correctly states that the user should click the “Jump to your record on the leaderboard” link to locate their entry, and mentions that the account was assigned a random display name. It also correctly notes that “Edit Course Profile” lets you check the displayed name. It omits the extra certificate/name-field details, but those are not necessary for answering the question."
What name do I show up under on the leaderboard by default?,c2903069a0,good,"The AI answer correctly states that the default leaderboard name is a random anonymous display name and gives the same example (“Lucid Elbakyan”). It preserves the key point and is semantically equivalent, though it omits the extra instructions about how to find or change the name."
Where can I check my display name in the course profile?,c2903069a0,good,"The AI answer correctly identifies that the display name can be checked in the ""Edit Course Profile"" section and that it is the first field. This matches the ground truth's key instruction. It omits some extra context about the random assigned name and certificate, but that is not necessary for answering the question."
Can I change the nickname that appears for me in the course?,c2903069a0,good,"The AI answer captures the key points: you can change the displayed nickname via Edit Course Profile, the first field is the public/display nickname, and the second field is the official name for the certificate. It omits some extra details from the original, but those are not necessary for semantic equivalence."
What do I need to enter if I want my real name on the certificate instead of the default one?,c2903069a0,good,"The AI answer correctly states that the real/legal name should be entered in the second field of Edit Course Profile and that this name will appear on the certificate. This matches the ground truth key point, though it omits some extra context about the default random name and the first field."
Can I take the course at my own pace and still get a certificate at the end?,69d122f12e,good,"The AI answer correctly states that certificates are only available when finishing with a live cohort and not in self-paced mode. It captures the key point from the ground truth, though it omits the explanation about peer reviews, which is not necessary for semantic equivalence here."
Is there any way to earn a certificate if I'm not doing the live cohort?,69d122f12e,good,"The AI answer matches the ground truth: it says certificates are only available for the live cohort, not self-paced mode, and correctly explains that peer-reviewing 3 capstones while the course is running is required. This preserves the key point and rationale."
Why aren't certificates given for the self-paced version of the course?,69d122f12e,good,The AI answer matches the ground truth: it says certificates are not awarded for self-paced mode and explains the reason is that peer-review of 3 capstones must occur during a live cohort. This captures the key point accurately.
Do I need to be in the running cohort to do the required peer reviews for the capstone?,69d122f12e,good,"The AI answer captures the key point that the peer-review requirement can only be completed in the live/running cohort and that self-paced participants cannot satisfy it. However, it incorrectly begins with an unqualified 'Yes' to the question 'Do I need to be in the running cohort to do the required peer reviews?', which is acceptable given the explanation but slightly muddled compared to the ground truth’s emphasis that certificates are only for live cohort completion. Overall, the substantive meaning matches: peer reviews must be done while the course is running, not in self-paced mode."
"If I miss the course while it's live, can I still get certified later after finishing it on my own?",69d122f12e,good,"The AI answer preserves the core meaning of the ground truth: certification is only available for completion with a live cohort, and self-paced completion does not qualify. It omits the explanation about peer reviews, but that is supporting detail rather than the key answer to the question."
"Do I need to complete every homework to get the course certificate, or is passing the Capstone enough?",9f689c185f,good,"The AI answer matches the ground truth: it states that passing the Capstone is sufficient for the certificate and that homework is not mandatory, only recommended and contributing to leaderboard rank. This is semantically equivalent to the original answer."
I skipped the first assignment — can I still earn the certificate if I pass the final project?,9f689c185f,good,"The AI answer correctly states that homework is not mandatory for earning the certificate and that passing the Capstone/final project is required. This matches the ground truth, including the key distinction that homework mainly affects leaderboard ranking, which the AI omits but is not essential to the question."
"Are homework points required for the certificate, or do they only affect leaderboard ranking?",9f689c185f,good,"The AI answer matches the ground truth: it states that homework is not required for the certificate, that passing the Capstone project is required, and that homework points only affect leaderboard ranking. This preserves the key meaning exactly."
"If homework isn't mandatory, what do I actually need to pass to get certified?",9f689c185f,good,"The AI answer correctly states that passing the Capstone project is required for certification and that homework is not mandatory. It preserves the core meaning of the original answer, omitting only extra details about homework being recommended and leaderboard points, which are not essential to the question."
Can I miss some homework and still finish the course with a certificate?,9f689c185f,good,The AI answer matches the ground truth: it says homework is not mandatory and that only the Capstone project must be passed to obtain the certificate. It also correctly states that missing homework does not affect the certificate. The extra wording is consistent with the original answer.
Why does the homework keep changing before it’s published?,96286b4be4,good,"The AI answer preserves all key points from the ground truth: '[DRAFT]' means not ready, readiness requires both the form being open and the title not containing '[DRAFT]', content may still change before then, and working early is at your own risk because the final version may differ. This is semantically equivalent."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The AI answer correctly states the core meaning of [DRAFT]: the homework is not ready yet. It omits the additional conditions and caution about content changing, but those are explanatory details rather than the key answer to the question."
How do I know the homework is actually ready to do?,96286b4be4,good,"The AI answer correctly states the two conditions for readiness: the form must be open and the title must not contain [DRAFT]. It also captures that if either condition is not met, the homework can still change. This is semantically equivalent to the ground truth, though it omits the explicit note that doing it early is at your own risk."
Can the homework content still change after I start working on it?,96286b4be4,good,"The AI answer matches the ground truth: it says the homework can still change until it is officially ready, and correctly states the two readiness conditions (form open and title without [DRAFT]). It also preserves the warning that working early is at the student's own risk because the final version may differ."
Is it safe to begin homework early if it is marked as draft?,96286b4be4,good,"The AI answer captures the key idea that a `[DRAFT]` homework is not ready and that starting early is at the student's own risk because the content may change. Although it omits the detail that the homework is considered ready only when the form is open and the title no longer contains `[DRAFT]`, the question asks whether it is safe to begin early, and the answer addresses that correctly in essence."
When is the next time this course will be offered?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same information: the course will next be offered in Summer 2027.
Do you know what season or year the course runs again?,bd31146b0e,bad,"The ground truth gives a specific time: Summer 2027. The AI answer says it doesn't know, which fails to provide the correct season/year and is not semantically equivalent."
Is there a date for the next course offering yet?,bd31146b0e,good,"The AI answer matches the ground truth exactly in meaning, stating the next course offering is planned for Summer 2027. No discrepancy or missing key information."
When can I take this course again if I miss it now?,bd31146b0e,bad,"The ground truth gives a specific retake time: Summer 2027. The AI answer does not convey this and instead says it doesn't know, which is incorrect and misses the key information."
What's the next scheduled run of this course?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the next scheduled run of the course as Summer 2027.
"Is there a place where I can find all the course videos for LLM Zoomcamp, or do I need to search around separately?",31456f4b5f,good,"The AI answer matches the ground truth: it directs the user to the LLM Zoomcamp GitHub repository, says lesson folders contain the relevant video links at the top, and notes the repo is easier to keep updated than the YouTube playlist. No key information is missing or incorrect."
Where should I start if I want to watch the lectures for this course?,31456f4b5f,bad,"The ground truth says the main entry point should be the LLM Zoomcamp GitHub repository, specifically the lesson folders/pages where videos are linked, and notes that it is preferable to the YouTube playlist for updates. The AI answer adds extra docs and does not mention the lesson folders or that the repo is the main/update-first entry point. It is close but misses the key instructional detail about where to start within the repo and overemphasizes docs not in the ground truth."
"Do the lesson pages in the repo include the video links, or are the videos somewhere else?",31456f4b5f,good,"The AI answer matches the ground truth: it states that the lesson pages in the repo include the relevant video links at the top, and that the repo should be used as the main entry point. It preserves the key guidance that the GitHub repo is the authoritative source. No important information is missing or contradicted."
"I found a YouTube playlist, but is the GitHub repo the better place to use for the latest lecture links?",31456f4b5f,good,"The AI answer matches the ground truth: it recommends the LLM Zoomcamp GitHub repository as the main entry point, notes that it is easier to keep updated than the YouTube playlist, and says lesson folders contain the relevant videos linked at the top. This preserves the key information and intent."
How can I quickly locate the right video for each lesson without missing updates?,31456f4b5f,good,"The AI answer matches the ground truth: it recommends using the LLM Zoomcamp GitHub repository as the main entry point, notes that each lesson page has the relevant videos linked at the top, and explains that the GitHub repo is easier to keep updated than the YouTube playlist. This preserves the key guidance about locating the right video and avoiding missed updates."
Where do I find the LLM Zoomcamp course page with the syllabus and deadlines?,20c5a1347e,good,"The AI answer gives the same course management platform URL and mentions syllabus, deadlines, homework, and progress tracking, matching the ground truth. It is semantically equivalent."
"Is there a place to check homework, progress, and the current cohort structure for LLM Zoomcamp?",20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform and states that it contains the current cohort structure, homework, deadlines, and progress tracking. The only omission is the note that the process is the same as in other DataTalks.Club Zoomcamps, which is extra context rather than a key requirement."
How can I keep track of my assignments and deadlines in this Zoomcamp?,20c5a1347e,good,"The AI answer matches the ground truth: it directs the user to the LLM Zoomcamp course management platform and states that it contains the cohort structure, homework/assignments, deadlines, and progress tracking. The meaning is preserved."
Which platform should I use for LLM Zoomcamp course management and progress tracking?,20c5a1347e,good,"The AI answer points to the correct LLM Zoomcamp course management platform and states that it contains deadlines, homework, and progress tracking. It adds 'syllabus' instead of 'current cohort structure,' but this does not change the core meaning. It is semantically equivalent to the ground truth."
Where is the official LLM Zoomcamp dashboard or course management site?,20c5a1347e,good,"The AI answer provides the same official course management URL as the ground truth. It conveys the key information that this is the official LLM Zoomcamp site, so it is semantically equivalent."
"Do we get live sessions for every module in this course, or is everything just recorded?",d65e05bd7a,good,"The AI answer matches the ground truth on the key points: no default live sessions per module, content is pre-recorded in the repo, and live sessions are announced separately. It also correctly mentions Slack and asking guidelines. It omits the optional AI Shipping Labs support, but that is extra information rather than the core answer to the question."
"If I’m stuck on a lesson, what’s the best way to ask for help?",d65e05bd7a,good,"The AI answer captures the key instruction from the ground truth: if stuck, ask in Slack and follow the asking questions guidelines. It adds a helpful detail about including text rather than screenshots, which does not conflict with the original. However, it omits the context about no separate live sessions, module materials being pre-recorded, and the optional AI Shipping Labs support. The core question is about the best way to ask for help, so the essential answer is preserved."
"Are live office hours part of the free course, or do they happen only sometimes?",d65e05bd7a,good,"The AI answer correctly conveys that live office hours are not included by default, that sessions are announced separately, and that regular office hours are part of the paid AI Shipping Labs while the core course remains free. This matches the ground truth semantics."
Is there any paid option with regular Zoom office hours for extra support?,d65e05bd7a,good,"The AI answer matches the ground truth’s key point: an optional paid community (AI Shipping Labs) offers regular Zoom office hours and extra structure, while the main course remains free. It omits some additional context about pre-recorded materials, live sessions being separately announced, and asking questions in Slack, but that does not change the answer to the asked question."
Where can I find the module materials and updates about any live sessions?,d65e05bd7a,good,"The AI answer correctly states that module materials are in the course repo and that live sessions are announced separately. It also includes the guidance to ask in Slack and follow the asking questions guidelines. It omits the optional AI Shipping Labs note, but that is extra information rather than a key requirement for the question asked."
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it confirms that Bluesky posts count toward learning in public credits for the course.
Is Bluesky accepted as a platform for earning learning in public credits?,dbf5369006,good,"The AI answer exactly matches the ground truth, affirming that Bluesky posts can be used for learning in public credits."
Do posts I make on Bluesky qualify for course credits under the learning in public rule?,dbf5369006,good,The AI answer exactly matches the ground truth and conveys the same key information: Bluesky posts qualify for learning in public credits.
"If I share my progress on Bluesky, can that be used for learning in public credits?",dbf5369006,good,The AI answer exactly matches the ground truth and correctly states that Bluesky posts can be used for learning in public credits.
Are Bluesky updates valid for the learning in public credit requirement in this course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it confirms that Bluesky posts are valid for learning in public credits. No key information is missing or contradicted.
What’s the Telegram link for LLM Zoomcamp?,054f3fd58f,good,"The AI answer gives the correct Telegram link for LLM Zoomcamp. It matches the ground truth key information, though it omits the note about using Slack for technical discussion, which was not asked for."
Where can I find the LLM Zoomcamp Telegram channel?,054f3fd58f,good,"The AI answer provides the correct Telegram channel link and matches the key information from the ground truth. It omits the note about using it for announcements and Slack for technical discussion, but that extra guidance is not required to answer the question asked."
Is there a Telegram channel for course announcements in LLM Zoomcamp?,054f3fd58f,good,The AI answer matches the ground truth exactly in meaning: it provides the Telegram channel link for announcements and correctly notes that technical discussion and questions should go to the course Slack channel.
Which Telegram group should I join for LLM Zoomcamp updates?,054f3fd58f,good,"The AI answer correctly identifies the Telegram channel for LLM Zoomcamp updates and matches the ground truth. It omits the note about using Slack for technical discussion, but that was not the core question asked."
Where do I go for announcements if I’m in LLM Zoomcamp?,054f3fd58f,good,"The AI answer correctly identifies the Telegram channel for announcements and provides the correct link. It omits the Slack channel for technical discussion, but that is extra information not required to answer the question asked."
Why is the FAQ record count different from what I see in the course videos?,e2d595f23c,good,"The AI answer preserves the key point: the FAQ dataset is live and changes over time, and the videos were recorded in May 2026 so current counts may differ. This is semantically equivalent to the ground truth."
Did the live FAQ data change after the videos were recorded?,e2d595f23c,good,"The AI answer preserves the key point: the FAQ dataset is live and can change over time, so counts/data may differ from the videos. It also correctly mentions that the videos were recorded in May 2026 and that new questions may have been added and old ones deleted. This is semantically equivalent to the ground truth."
Is it normal if my downloaded FAQ dataset has more or fewer rows than the lecture shows?,e2d595f23c,good,"The AI answer preserves the key point from the ground truth: the FAQ dataset is live and changes over time, so the number of rows may differ from the lecture because the videos were recorded in May 2026. It is semantically equivalent and complete."
Why don't my results match the number of FAQs in the recording?,e2d595f23c,good,"The AI answer preserves the core explanation: the FAQ dataset is live, changes over time, and the recording count may differ because the videos were recorded earlier. This matches the original meaning closely."
Are the dataset changes because new questions get added and old ones get removed over time?,e2d595f23c,good,"The AI answer captures the core point that the live FAQ dataset changes over time because new questions are added and old ones are deleted. It omits the note that the videos were recorded in May 2026 and that this explains why counts may differ, but the main answer to the question is preserved."
Can I still hand in homework if the deadline is already gone but the submission form is still open?,a9353fadfe,good,"The AI answer preserves the core meaning of the ground truth: submission is allowed if the form remains open, even after the deadline, and becomes impossible only once the form is closed. This is semantically equivalent."
Does the form staying open mean I’m allowed to submit late work?,a9353fadfe,good,"The AI answer preserves the key point: an open form means late work can still be submitted, and submissions stop only after the form closes. This is semantically equivalent to the ground truth."
When do submissions actually stop being accepted — at the deadline or only after the form closes?,a9353fadfe,good,"The AI answer matches the ground truth: it states that submissions are accepted while the form is open, even after the deadline, and stop only once the form closes. This preserves the key meaning without contradiction."
"If I missed the deadline but the homework page still lets me submit, is that okay?",a9353fadfe,good,"The AI answer preserves the key point: if the submission form is still open, submissions are allowed even after the deadline; only a closed form prevents submission. This is semantically equivalent to the ground truth."
"Am I blocked from turning in answers only after the form is closed, even if the deadline passed earlier?",a9353fadfe,good,"The AI answer matches the ground truth: it states that submission is allowed while the form remains open even after the deadline, and blocked only after the form is closed. This preserves the key point accurately."
"Can I still turn in homework after the deadline has passed, or is it locked right away?",cdc3b285e5,good,"The AI answer matches the key point of the ground truth: submissions are allowed after the listed deadline as long as the form remains open, and are blocked only once the form closes. It omits the extra details about no individual extensions, no late submissions after closure, and homework not being required for the certificate, but those are not necessary to answer the question asked."
