question,document
Can I still join the course if I just found it now?,74eb249bbf
Is it okay to start late and catch up with the course material?,74eb249bbf
"If I join after the course has started, can I still get a certificate?",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining late?,74eb249bbf
Are project submissions still open for new students who discovered the course recently?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is that normal?",977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c
"If I never registered, can I still follow along and turn in assignments while the homework form is open?",977bf7786c
Is there some accepted list that my registration has to match before I can participate?,977bf7786c
What’s the point of registering if I can already start learning without any email confirmation?,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,489dd1c9d9
Where is the live stream link for the workshop or Office Hours usually announced before it starts?,489dd1c9d9
"Can students watch the live sessions on YouTube, and where do we send questions during the stream?",489dd1c9d9
"Why can’t I see the Zoom URL for the live class sessions, and what should I use instead?",489dd1c9d9
"Should I ask questions in the chat during live Office Hours, or is there another place to submit them?",489dd1c9d9
"Where do I begin if I want to take this course from scratch, and what are the main resources I should check first?",04919992b3
What’s the usual weekly routine for this course after I watch the lectures?,04919992b3
"Do I have to start on a fixed date, or can I join and work through the material anytime?",04919992b3
"How exactly should I handle homework for each week, from the lesson material to submitting it?",04919992b3
"Is the homework basically the same as the lesson exercises, or does it change each week?",04919992b3
I can’t find myself on the leaderboard — how do I locate my entry?,c2903069a0
What name do I show up under on the leaderboard by default?,c2903069a0
Where can I check my display name in the course profile?,c2903069a0
Can I change the nickname that appears for me in the course?,c2903069a0
What do I need to enter if I want my real name on the certificate instead of the default one?,c2903069a0
Can I take the course at my own pace and still get a certificate at the end?,69d122f12e
Is there any way to earn a certificate if I'm not doing the live cohort?,69d122f12e
Why aren't certificates given for the self-paced version of the course?,69d122f12e
Do I need to be in the running cohort to do the required peer reviews for the capstone?,69d122f12e
"If I miss the course while it's live, can I still get certified later after finishing it on my own?",69d122f12e
"Do I need to complete every homework to get the course certificate, or is passing the Capstone enough?",9f689c185f
I skipped the first assignment — can I still earn the certificate if I pass the final project?,9f689c185f
"Are homework points required for the certificate, or do they only affect leaderboard ranking?",9f689c185f
"If homework isn't mandatory, what do I actually need to pass to get certified?",9f689c185f
Can I miss some homework and still finish the course with a certificate?,9f689c185f
Why does the homework keep changing before it’s published?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How do I know the homework is actually ready to do?,96286b4be4
Can the homework content still change after I start working on it?,96286b4be4
Is it safe to begin homework early if it is marked as draft?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know what season or year the course runs again?,bd31146b0e
Is there a date for the next course offering yet?,bd31146b0e
When can I take this course again if I miss it now?,bd31146b0e
What's the next scheduled run of this course?,bd31146b0e
"Is there a place where I can find all the course videos for LLM Zoomcamp, or do I need to search around separately?",31456f4b5f
Where should I start if I want to watch the lectures for this course?,31456f4b5f
"Do the lesson pages in the repo include the video links, or are the videos somewhere else?",31456f4b5f
"I found a YouTube playlist, but is the GitHub repo the better place to use for the latest lecture links?",31456f4b5f
How can I quickly locate the right video for each lesson without missing updates?,31456f4b5f
Where do I find the LLM Zoomcamp course page with the syllabus and deadlines?,20c5a1347e
"Is there a place to check homework, progress, and the current cohort structure for LLM Zoomcamp?",20c5a1347e
How can I keep track of my assignments and deadlines in this Zoomcamp?,20c5a1347e
Which platform should I use for LLM Zoomcamp course management and progress tracking?,20c5a1347e
Where is the official LLM Zoomcamp dashboard or course management site?,20c5a1347e
"Do we get live sessions for every module in this course, or is everything just recorded?",d65e05bd7a
"If I’m stuck on a lesson, what’s the best way to ask for help?",d65e05bd7a
"Are live office hours part of the free course, or do they happen only sometimes?",d65e05bd7a
Is there any paid option with regular Zoom office hours for extra support?,d65e05bd7a
Where can I find the module materials and updates about any live sessions?,d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006
Is Bluesky accepted as a platform for earning learning in public credits?,dbf5369006
Do posts I make on Bluesky qualify for course credits under the learning in public rule?,dbf5369006
"If I share my progress on Bluesky, can that be used for learning in public credits?",dbf5369006
Are Bluesky updates valid for the learning in public credit requirement in this course?,dbf5369006
What’s the Telegram link for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram channel?,054f3fd58f
Is there a Telegram channel for course announcements in LLM Zoomcamp?,054f3fd58f
Which Telegram group should I join for LLM Zoomcamp updates?,054f3fd58f
Where do I go for announcements if I’m in LLM Zoomcamp?,054f3fd58f
Why is the FAQ record count different from what I see in the course videos?,e2d595f23c
Did the live FAQ data change after the videos were recorded?,e2d595f23c
Is it normal if my downloaded FAQ dataset has more or fewer rows than the lecture shows?,e2d595f23c
Why don't my results match the number of FAQs in the recording?,e2d595f23c
Are the dataset changes because new questions get added and old ones get removed over time?,e2d595f23c
Can I still hand in homework if the deadline is already gone but the submission form is still open?,a9353fadfe
Does the form staying open mean I’m allowed to submit late work?,a9353fadfe
When do submissions actually stop being accepted — at the deadline or only after the form closes?,a9353fadfe
"If I missed the deadline but the homework page still lets me submit, is that okay?",a9353fadfe
"Am I blocked from turning in answers only after the form is closed, even if the deadline passed earlier?",a9353fadfe
"Can I still turn in homework after the deadline has passed, or is it locked right away?",cdc3b285e5
Do you ever give deadline extensions for homework if someone asks?,cdc3b285e5
