question,answer_llm,answer_orig,document
Can I still join the course if I just found it now?,"Yes — you can still join the course. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to start late and catch up with the course material?,"Yes — you can start whenever you want and catch up with the material. The videos, GitHub materials, and homework are available, and the deadlines are listed on the course platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has started, can I still get a certificate?","Yes — if you join after the course has started, you can still get a certificate **as long as you submit your project while submissions are still being accepted** and complete the required live cohort process.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining late?,I don’t know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Are project submissions still open for new students who discovered the course recently?,"Yes. New students can still join, but if you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is that normal?","No, that’s normal. You don’t need a confirmation email — you’re accepted. You can start learning and submitting homework while the form is open, and registration is only used to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,"No — you don’t need the registration confirmation. You’re accepted, and you can start the course and submit homework while the form is open even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I never registered, can I still follow along and turn in assignments while the homework form is open?","Yes. You can start learning and submit homework while the form is open even if you never registered. Registration isn’t required, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there some accepted list that my registration has to match before I can participate?,"No. Registration is not checked against any accepted list. You can start learning and submitting homework while the form is open, even without registering. Registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering if I can already start learning without any email confirmation?,"Registration is just to gauge interest before the start date. You’re already accepted, and you can start learning and submitting homework without waiting for an email confirmation.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,"The Zoom link is only shared with instructors/presenters/TAs, not students.

If you’re a student, join the Office Hours or live workshop via:
- **YouTube Live** on the DataTalksClub YouTube channel
- **Slido** for questions, with the link pinned in the live chat
- Check the **announcements channel on Telegram and Slack** for the video URL before the session starts

Don’t post questions in the chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the live stream link for the workshop or Office Hours usually announced before it starts?,The live stream link is usually posted in the announcements channel on Telegram and Slack before it starts. You can also watch it live on the DataTalksClub YouTube Channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can students watch the live sessions on YouTube, and where do we send questions during the stream?","Yes. Students can watch the live sessions on the DataTalksClub YouTube channel, and questions during the stream should be sent to Slido, whose link is pinned in the chat when the session is live. Don’t post questions in chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Why can’t I see the Zoom URL for the live class sessions, and what should I use instead?","You can’t see the Zoom URL because it’s only published to instructors, presenters, and TAs.

For live class sessions, use:
- **YouTube Live** to watch the stream
- **Slido** to submit questions
- The **announcements channel on Telegram and Slack** for the video URL before the session starts

The DataTalksClub **YouTube channel** is also where you can watch live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I ask questions in the chat during live Office Hours, or is there another place to submit them?","During live Office Hours, don’t post questions in the chat if you can avoid it — they may be missed when the room is active.

Instead, submit your questions via **Slido** during the live session, and check the pinned chat message for the link. If you’re asking outside the live session, use **Slack** and follow the course’s question-asking guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do I begin if I want to take this course from scratch, and what are the main resources I should check first?","Start with these three resources:

1. **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/  
2. **General Zoomcamp logistics docs**: https://datatalks.club/docs/courses/zoomcamp-logistics/  
3. **LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp

A simple workflow from scratch is:

1. **Watch the lesson videos**
2. **Go through the lesson notebooks/code**
3. **Read the homework instructions on GitHub**
4. **Submit your answers on the course platform before the deadline**

Also, for the lesson materials, use the **GitHub repo as the main entry point**, because it’s the easiest place to stay updated.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course after I watch the lectures?,"A typical weekly routine is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson flow, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
